latitude,longitude,name,desc,color
39.78373,-100.445882,"3816 S Lamar Blvd. Apt 2404, Austin, TX 78704",US,
45.56018,-122.655003,"1023 NE Webster St., Portland, OR 97211","1023 Northeast Webster Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"12929 SW Bell Rd, Sherwood, OR 97140",US,
39.78373,-100.445882,"4110 SE Hawthorne Blvd, #288, Portland, OR 97214",US,
39.78373,-100.445882,"34395 SE Duus Rd, #36, Estacada, OR 97023",US,
45.523652,-122.675022,"450 NW Couch St., Portland, OR 97209","450 Northwest Couch Street, Portland, Multnomah County, OR, US",
45.55465,-122.62371,"4405 NE 39th Ave, Portland, OR 97211","4405 Northeast César E. Chávez Boulevard, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"571 SW 207th Ave, Beaverton, OR 97006",US,
39.78373,-100.445882,"20 NE 20th Ave, Portland, OR 97232-3019",US,
45.515224,-122.665648,"1028 SE Water Ave., Portland, OR 97214","1028 Southeast Water Avenue, Portland, Multnomah County, OR, US",
45.535334,-122.700601,"2384 NW Thurman Street, Portland, OR 97210","2384 Northwest Thurman Street, Portland, Multnomah County, OR, US",
45.590167,-122.755249,"8622 N. Lombard Street, Portland, OR 97203","8622 North Lombard Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"2752 SE 145th Ave, Ste. D, PMB 175, Portland, OR 97236",US,
45.519117,-122.651284,"1406 SE Stark Street, Portland, OR 97214","1406 Southeast Stark Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"14425 SW Walker Rd., Ste. C, Beaverton, OR 97006",US,
45.500152,-122.652476,"3205 SE 13th Ave., Portland, OR 97202","3205 Southeast 13th Avenue, Portland, Multnomah County, OR, US",
45.487709,-122.595612,"4848 SE 65th Ave, Portland, OR 97206","4848 Southeast 65th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"8101 SE Cromwell, Portland, OR 97206",US,
39.78373,-100.445882,"3290 SW Lundgren Terrace, Beaverton, OR 97005-1523",US,
45.523147,-123.00047,"136 NW Marshall Drive, Hillsboro, OR 97124","136 Northwest Marshall Drive, Hillsboro, Washington County, OR, US",
45.551462,-122.675418,"3948 N. Mississippi Ave, Portland, OR 97227","3948 North Mississippi Avenue, Portland, Multnomah County, OR, US",
45.551742,-122.664963,"3969 NE Rodney Ave, Portland, OR 97212","3969 Northeast Rodney Avenue, Portland, Multnomah County, OR, US",
45.496708,-122.582065,"7920 SE Rhine St, Portland, OR 97206","7920 Southeast Rhine Street, Portland, Multnomah County, OR, US",
45.463933,-122.594107,"6720 SE Tenino St., Portland, OR 97206","6720 Southeast Tenino Street, Portland, Multnomah County, OR, US",
45.519251,-122.58338,"7817 SE Stark St., Portland, OR 97215","7817 Southeast Stark Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"1017 SW Morrison, Portland, OR 97205",US,
45.548931,-122.675431,"3628 N Mississippi Ave, Portland, OR 97227","3628 North Mississippi Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"10231 NE Tillamook Ave. Apt 20, Portland, OR 97220",US,
45.54382,-122.59359,"2905 NE 68th Ave, Portland, OR 97213","2905 Northeast 68th Avenue, Portland, Multnomah County, OR, US",
45.520209,-122.513373,"333 SE 146th Ave, Portland, OR 97233","333 Southeast 146th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"3120 N.Williams Ave. , Suite B, Portland, OR 97227",US,
45.482727,-122.597318,"5517 SE 65th Ave, Portland, OR 97206","5517 Southeast 65th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"8826 SE 28th Place, Milwaukie, OR 97211",US,
45.483241,-122.592081,"6903 SE Harold St, Portland, OR 97206","6903 Southeast Harold Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"2817 SW 21st, Redmond, OR 97756",US,
39.78373,-100.445882,"3808 N Williams Ave, #121, Portland, OR 97227",US,
45.465662,-122.647798,"1670 SE Nehalem St, Portland, OR 97202","1670 Southeast Nehalem Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"3305 SE 54th , Portland, OR 97206",US,
39.78373,-100.445882,"902 SW Fox Pl, Troutdale, OR 97060-4405",US,
45.51907,-122.530033,"20121 SE Stark st, Portland, OR 97233-____","Southeast Stark Street, Portland, Multnomah County, OR, US",
45.492571,-122.609315,"4203 SE 52nd Ave, Portland, OR 97206","4203 Southeast 52nd Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"4422 SW Corbett Ave, Ste 201, Portland, OR 97239",US,
45.560774,-122.681813,"5206 N. Interstate Ave, Portland, OR 97217","5206 North Interstate Avenue, Portland, Multnomah County, OR, US",
45.509951,-122.58344,"1810 SE 77th Avenue, Portland, OR 97215","1810 Southeast 77th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"11945 SW Pacific Hwy, #202, Tigard, OR 97223",US,
45.484553,-122.790016,"4800 SW Maple Ave, Beaverton, OR 97005","4800 Southwest Maple Avenue, Beaverton, Washington County, OR, US",
39.78373,-100.445882,"same as owner's home",US,
39.78373,-100.445882,"same as owner's home",US,
39.78373,-100.445882,"2405 SE Umatilla Apt. #68, Portland, OR 97202",US,
45.517508,-122.657399,"819 SE Morrison St., Portland, OR 97232","819 Southeast Morrison Street, Portland, Multnomah County, OR, US",
45.515472,-122.6533,"1016 SE 12th Ave, Portland, OR 97214","1016 Southeast 12th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"2330 NW Flanders St., Portland, OK 97210",US,
39.78373,-100.445882,"Full Spectrum Health Center, 3305 SE Division St., Portland, OR 97202",US,
39.78373,-100.445882,"same as owner's home",US,
